student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade
987232,3.9,96.7,6.7,53.9,D
79955,16.0,73.9,5.4,77.3,B
567131,8.7,98.7,3.0,75.0,B
500892,15.0,92.7,0.1,85.7,A
55400,0.9,87.0,5.4,30.8,F
135050,3.8,78.1,2.6,62.3,C
733379,4.1,95.0,6.3,74.0,B
732058,4.2,86.5,3.3,68.9,C
51334,15.5,82.7,2.4,83.7,B
731480,12.5,67.2,4.0,95.5,A
399759,16.0,99.4,6.1,95.9,A
401398,14.8,78.8,10.0,81.0,B
855486,16.0,76.5,4.1,100.0,A
858885,15.9,71.1,4.3,97.1,A
503248,12.6,95.0,5.7,62.3,C
864742,16.0,88.4,9.0,100.0,A
35033,1.5,67.7,9.4,47.9,D
995704,16.0,67.8,6.9,100.0,A
376762,16.0,71.3,7.4,100.0,A
811354,11.0,85.2,3.7,99.9,A
577746,10.6,76.9,8.2,77.9,B
659807,3.8,85.9,5.1,62.2,C
219340,16.0,69.5,6.2,100.0,A
979756,15.8,94.1,6.2,98.4,A
625692,8.5,79.8,3.3,77.1,B
215340,16.0,88.5,4.3,100.0,A
443418,14.1,74.1,10.0,78.7,B
980329,2.8,75.7,6.7,54.7,D
336984,10.0,93.8,7.1,87.6,A
518813,16.0,97.4,3.5,69.1,C
943379,0.4,84.8,4.2,49.6,D
2086,6.5,83.8,7.5,69.2,C
663616,9.8,76.9,3.9,69.4,C
677815,16.0,66.9,7.5,82.8,B
957738,16.0,85.2,9.6,86.1,A
543083,5.2,77.2,7.8,60.6,C
529928,5.5,81.4,8.2,67.6,C
66337,11.2,84.0,5.0,91.7,A
272967,16.0,62.5,6.6,100.0,A
876376,16.0,73.1,6.7,100.0,A
443182,16.0,71.7,4.6,86.1,A
38748,16.0,90.7,5.9,100.0,A
244519,16.0,98.4,10.0,100.0,A
321942,16.0,80.8,6.8,100.0,A
212424,12.9,88.1,6.9,75.8,B
684488,14.0,97.4,6.6,94.5,A
460022,10.6,100.0,6.9,65.1,C
330798,8.1,100.0,5.2,51.7,D
820288,16.0,78.2,6.0,100.0,A
934969,16.0,83.6,5.0,100.0,A
878903,12.6,100.0,5.9,75.5,B
507015,16.0,73.1,10.0,100.0,A
63469,16.0,78.6,6.3,99.0,A
568671,6.9,84.6,8.0,80.6,B
855772,16.0,70.6,3.3,100.0,A
606373,7.3,69.8,6.0,67.5,C
358901,9.9,85.1,5.8,100.0,A
178393,13.4,79.5,6.4,68.5,C
921915,12.6,93.4,4.4,70.5,B
348366,10.1,94.3,7.2,77.1,B
377483,16.0,77.8,4.1,100.0,A
44793,16.0,94.3,10.0,93.4,A
690928,16.0,81.5,8.1,100.0,A
50314,16.0,70.7,4.6,100.0,A
780882,16.0,77.4,6.0,96.5,A
18959,16.0,80.7,6.5,97.5,A
804704,14.4,100.0,7.8,98.0,A
8986,16.0,85.3,4.2,100.0,A
99902,14.5,71.5,5.5,73.2,B
655319,16.0,95.2,7.1,100.0,A
224929,16.0,93.2,8.9,100.0,A
926626,16.0,84.3,7.2,93.3,A
67899,0.0,69.4,7.5,63.2,C
68879,8.5,95.3,6.9,78.7,B
904485,16.0,62.3,8.6,91.7,A
244300,4.1,59.2,7.4,56.5,C
912238,14.7,86.7,5.8,84.8,B
803685,16.0,74.7,5.4,97.2,A
444937,16.0,64.0,3.7,84.1,B
895959,16.0,71.8,8.5,100.0,A
858829,16.0,75.5,7.9,100.0,A
575348,16.0,79.2,8.5,96.6,A
464017,14.6,84.4,7.7,100.0,A
196830,8.5,71.1,6.0,70.1,B
309024,16.0,86.7,6.7,100.0,A
347382,16.0,75.3,2.2,83.9,B
310805,16.0,86.0,9.2,93.9,A
